Airdate,Season,Episode,Theme,Signature,Signature Time (min),Technical,Technical Time (min),Showstopper,Showstopper Time (min),MyRating (out of 10),MyViewership
8/17/2010,1,1,Cake,Cake,180.0,Victoria Sandwich,,Chocolate Celebration Cake,,8.0,8.57
8/24/2010,1,2,Biscuit,Personality Biscuits,120.0,Scones,60.0,"Meringue, Choux, and Macaron Petits Fours",240.0,7.8,11.14
8/31/2010,1,3,Bread,Signature Bread,210.0,Cob,150.0,12 Sweet and 12 Savoury Rolls,360.0,7.9,11.47
9/7/2010,1,4,Pudding,Classic Pudding,150.0,Mini Hot Lemon Soufflés,40.0,"Crumble, Bread, & Suet Puddings",300.0,7.7,11.03
9/14/2010,1,5,Pastry,Savoury Pie,150.0,Cornish Pasties,90.0,Savory Canapés and Sweet Tartlets,300.0,7.8,11.93
9/21/2010,1,6,Final,24 Professional Tea Cakes,150.0,,,96 Petit Fours,300.0,7.7,11.4
8/16/2011,2,1,Cake,24 Cupcakes,120.0,Coffee and Walnut Battenberg,120.0,Chocolate Tiered Cake,300.0,7.8,11.5
8/23/2011,2,2,Tarts,Quiche,120.0,Tarte au Citron,90.0,24 Miniature Sweet Tarts,,8.0,12.6
8/30/2011,2,3,Bread,Free Form Loaf,195.0,Focaccia,210.0,12 Sweet and 12 Savoury Rolls,300.0,7.8,12.85
9/6/2011,2,4,Biscuit,12 Biscuits,90.0,24 Brandy Snaps,90.0,3 Flavor Macaron Display,300.0,7.7,13.11
9/13/2011,2,5,Pies,Family Pie,150.0,6 Miniature Pork Pies,150.0,Meringue Pie,210.0,8.0,13.81
9/20/2011,2,6,Desserts,Baked Cheesecake,150.0,Chocolate Roulade,105.0,Croquembouche,300.0,7.9,14.41
9/27/2011,2,7,Pâtisserie,Layered Mousse Cake,120.0,12 Iced Fingers,,3 Types of Pastries,,7.7,15.62
10/4/2011,2,8,Final,12 Mille-Feuille,150.0,Sachertorte,160.0,3 Types of Petits Fours,240.0,8.1,17.16
8/14/2012,3,1,Cake,Upside Down Cake,120.0,4 Rum Babas,180.0,Hidden Design Cake,300.0,8.5,15.72
8/21/2012,3,2,Bread,12 Flatbreads,150.0,Eight-strand Plaited Loaf,120.0,12 Sweet and 12 Savoury Bagels,240.0,8.4,17.08
8/28/2012,3,3,Tarts,Tarte Tatin,150.0,Treacle Tart,120.0,Designer Fruit Tart,180.0,7.9,17.49
9/4/2012,3,4,Desserts,Wheat-free Torte Cake,180.0,Crème Caramel,165.0,4 Layered Meringue Dessert,,7.8,16.61
9/11/2012,3,5,Pies,Wellington,180.0,Hand-raised Pie,135.0,Family-sized American Pie,210.0,8.0,16.79
9/18/2012,3,6,Pudding,2 Sponge Puddings,120.0,Queen Of Puddings,,Strudel,210.0,8.2,16.86
9/25/2012,3,7,Sweet Dough,24 Sweet Buns,180.0,10 Jam Doughnuts,150.0,Celebratory Loaf,,8.1,17.12
10/2/2012,3,8,Biscuit,48 Crackers,120.0,6 Chocolate Teacakes,120.0,Gingerbread Structure,240.0,8.1,17.96
10/9/2012,3,9,Pâtisserie,3 Types of Petits Fours,,Frasier Cake,150.0,Choux Pastry Gâteau,,7.9,18.45
10/16/2012,3,10,Final,Pithivier,150.0,25 Fondant Fancies,150.0,Chiffon Cake,240.0,8.0,22.05
8/20/2013,4,1,Cake,Sandwich Cake,120.0,Angel Food Cake,150.0,Chocolate Cake,240.0,7.9,22.77
8/27/2013,4,2,Bread,36 Breadsticks,120.0,8 English Muffins,165.0,Decorative Loaf,240.0,8.2,23.93
9/3/2013,4,3,Desserts,Trifle,180.0,Floating Islands,90.0,24 Petits Fours,180.0,8.0,24.56
9/10/2013,4,4,Pies and Tarts,Double Crust Fruit Pie,120.0,12 Egg Custard Tarts,120.0,Filo Pie,240.0,7.7,23.31
9/17/2013,4,5,Biscuits and Traybakes,Favorite Traybake,120.0,18 Tuiles,90.0,Biscuit Tower,240.0,7.9,22.82
9/24/2013,4,6,Sweet Dough,Yeasted Tea Loaf,180.0,Apricot Couronne,165.0,24 European Sweet Buns,270.0,7.9,24.97
10/1/2013,4,7,Pastry,Suet Pudding,180.0,8 Religieuses,120.0,36 Sweet Puffed Pastries,240.0,8.1,25.6
10/8/2013,4,8,Alternative Ingredients,Wheat-free Loaf,180.0,Hazelnut Dacquoise,165.0,Dairy-free Vegetable Cake,240.0,7.7,24.78
10/15/2013,4,9,French Week,36 Canapés,150.0,Charlotte Royale,150.0,Opera Cake,150.0,7.8,26.89
10/22/2013,4,10,Final,Picnic Pie,180.0,6 Savory and 6 Sweet Pretzels,150.0,Three Tiered Wedding Cake,400.0,8.0,29.04
8/6/2014,5,1,Cake,Swiss Roll,150.0,Cherry Cake,120.0,36 Classic Miniature British Cakes,210.0,7.9,30.96
8/13/2014,5,2,Biscuit,36 Savoury Biscuits,120.0,18 Florentines,105.0,3D Biscuit Scene,240.0,8.1,30.13
8/20/2014,5,3,Bread,12 Rye Bread Rolls,210.0,4 Ciabattas,180.0,Filled Centrepiece Loaf,240.0,8.2,33.46
8/27/2014,5,4,Dessert,8 Self-saucing Puddings,120.0,Tiramisu Cake,150.0,Baked Alaska,270.0,8.3,36.23
9/3/2014,5,5,Pies and Tarts,Custard Tart,150.0,Mini Pear Pies,120.0,Three-tiered Pie,270.0,7.8,35.46
9/10/2014,5,6,European Cakes,Yeast-leavened Cake,180.0,Prinsesstårta,135.0,Dobos Torte,300.0,7.9,36.16
9/17/2014,5,7,Pastry,12 Savoury Parcels,105.0,Kougin-Amann,210.0,24 Éclairs,240.0,8.1,36.26
9/24/2014,5,8,Advanced Dough,Fruit Loaf,150.0,Povitica,150.0,36 Doughnuts,240.0,8.5,34.82
10/1/2014,5,9,Pâtisserie,24 Baklava,210.0,Schichttorte,120.0,24 Entremets,300.0,7.9,37.33
10/8/2014,5,10,Final,Viennoiserie,210.0,"12 Mini Victoria Sandwiches, 12 Mini Tarte au Citron, 12 Mini Scones",120.0,Pièce Montée,300.0,8.3,46.68
8/5/2015,6,1,Cake,Madeira Cake,120.0,Frosted Walnut Layer Cake,105.0,Black Forest Gâteau,210.0,7.8,43.14
8/12/2015,6,2,Biscuit,24 Biscotti,120.0,8 Arlettes,150.0,36 Biscuits and an Edible Biscuit Box,240.0,8.0,43.03
8/19/2015,6,3,Bread,2 Quick Breads,90.0,4 Baguettes,150.0,3D Bread Sculpture,300.0,7.8,42.81
8/26/2015,6,4,Dessert,12 Crème Brûlées,120.0,Spanische Windtorte,240.0,Three-tiered Cheesecake,270.0,8.2,44.13
9/2/2015,6,5,Alternative Ingredients,Sugar-free Cake,150.0,12 Gluten-free Pita Bread,120.0,Dairy-free Ice Cream Roll,270.0,8.0,44.23
9/9/2015,6,6,Pastry,Frangipane Tart,120.0,12 Flaounes,120.0,48 Vol-au-Vents,225.0,7.8,44.11
9/16/2015,6,7,Victorian,Raised Game Pie,180.0,Tennis Cake,180.0,Charlotte Russe,330.0,7.7,43.21
9/23/2015,6,8,Pâtisserie,24 Cream Horns,210.0,9 Mokatines,120.0,Religieuse à L'Ancienne,240.0,8.0,42.12
9/30/2015,6,9,Chocolate,Chocolate Tart,150.0,Chocolate Soufflé,75.0,Chocolate Centrepieces,240.0,8.3,46.97
10/7/2015,6,10,Final,16 Iced Buns,180.0,Mille-Feuille,120.0,Classic British Cake,240.0,8.6,52.58
8/24/2016,7,1,Cake,Drizzle Cake,120.0,12 Jaffa Cakes,,Mirror Glaze Cake,,8.1,49.11
8/31/2016,7,2,Biscuit,24 Iced Biscuits,150.0,12 Viennese Whirls,90.0,Gingerbread 3D Scene,240.0,7.7,48.5
9/7/2016,7,3,Bread,Chocolate Loaf,150.0,Dampfnudel,120.0,Savoury Plaited Centrepiece,240.0,8.3,46.37
9/14/2016,7,4,Batter,Filled Yorkshire Puddings,120.0,12 Heart-shaped Lace Pancakes,60.0,36 Churros,180.0,7.7,45.77
9/21/2016,7,5,Pastry,24 Breakfast Pastries,210.0,Bakewell Tart,150.0,48 Filo Amuse-bouche,240.0,7.9,47.78
9/28/2016,7,6,Botanical,Citrus Meringue Pie,120.0,2 Herb Fougasse,,Three-tier Flower Cake,,8.0,48.28
10/5/2016,7,7,Desserts,Family-sized Roulade,90.0,Marjolaine/Dacquoise,180.0,24 Mini Mousse Cakes,240.0,7.7,47.44
10/12/2016,7,8,Tudor,Shaped Savoury Pie,180.0,12 Jumbles,90.0,3D Marchpane Cake,210.0,8.1,47.92
